,address,listingby,price,beds,baths,sqft,building_type
252,"234 Andover St, San Francisco, CA 94110","AVENUE 8 INC., Richard Rochon","$2,195,000",4 bds,3 ba,"2,040 sqft",- House for sale
253,"6 Mint Plz APT 201A, San Francisco, CA 94103","COMPASS SF, L. Christine Irsfeld","$649,000",1 bd,1 ba,589 sqft,- Condo for sale
254,"2119 25th Ave, San Francisco, CA 94116","CENTURY 21 BALDINI REALTY, Joseph A. Jajeh","$1,189,000",2 bds,1 ba,"1,400 sqft",- House for sale
255,"207 Brussels St, San Francisco, CA 94134","RE/MAX GOLD DALY CITY, Bradford Huang","$1,288,000",6 bds,4 ba,"1,675 sqft",- House for sale
256,"10 Sea Cliff Ave, San Francisco, CA 94121","PATRICIA AGUARISTI, BROKER, Fernando Quezada","$7,200,000",4 bds,4 ba,"3,420 sqft",- House for sale
257,"172 Landers St #174, San Francisco, CA 94114","VANGUARD PROPERTIES, Allison Chapleau","$1,995,000",4 bds,-- ba,"2,240 sqft",- Multi-family home for sale
258,"1910 Turk St #1912, San Francisco, CA 94115","COMPASS, Alex M. Shvartsman","$1,949,000",4 bds,-- ba,"2,490 sqft",- Multi-family home for sale
259,"1567 Francisco St, San Francisco, CA 94123","SOTHEBY'S INTERNATIONAL REALTY, Darwin Tejada","$3,575,000",3 bds,4 ba,"3,072 sqft",- Condo for sale
260,"179 San Carlos St #2, San Francisco, CA 94110",NaN,"$1,295,000",2 bds,2 ba,973 sqft,- Condo for sale
261,"6038 Geary Blvd #6040, San Francisco, CA 94121","COMPASS, Carol L. Solfanelli","$1,395,000",4 bds,2 ba,"3,340 sqft",- House for sale
262,"114 Coral Ct #26, San Francisco, CA 94124","CENTURY 21 REALTY ALLIANCE, Shu Pu","$699,000",3 bds,3 ba,"1,360 sqft",- Condo for sale
263,"700 15th Ave, San Francisco, CA 94118","COMPASS, John M. Kirkpatrick","$2,995,000",5 bds,4 ba,"2,877 sqft",- House for sale
264,"2626 Filbert St, San Francisco, CA 94123","COMPASS, Neal Allen Ward","$15,980,000",4 bds,5 ba,"4,185 sqft",- House for sale
265,"2546 Sutter St, San Francisco, CA 94115",NaN,"$1,888,000",-- bds,-- ba,"1,920 sqft",- Multi-family home for sale
266,"385 Tehama St, San Francisco, CA 94103","COMPASS, Adam I. Gavzer","$1,279,000",1 bd,1 ba,"1,566 sqft",- Condo for sale
267,"686 28th Ave, San Francisco, CA 94121","DCP REALTY, Thanda Yap","$1,580,000",3 bds,2 ba,"1,350 sqft",- House for sale
268,"349 S Van Ness Ave #3, San Francisco, CA 94103","VANGUARD PROPERTIES, Michael A. Gallin","$625,000",2 bds,1 ba,787 sqft,- Condo for sale
269,"547 Sawyer St, San Francisco, CA 94134",NaN,"$798,000",3 bds,2 ba,"1,235 sqft",- House for sale
270,"1441 Vallejo St, San Francisco, CA 94109","CORCORAN GLOBAL LIVING, Erik Reider","$1,699,000",2 bds,2 ba,"2,012 sqft",- Condo for sale
271,"946 Stockton St APT 11C, San Francisco, CA 94108","UNITED ASSOCIATES INV., INC., King C. Hsiao","$760,000",2 bds,2 ba,690 sqft,- Condo for sale
272,"901 Bayshore Blvd #206, San Francisco, CA 94124","CORCORAN GLOBAL LIVING, Julia Lo","$240,000",1 bd,1 ba,-- sqft,- Condo for sale
273,"290 Red Rock Way #A, San Francisco, CA 94131","COMPASS, Katherine D. Tomassi","$995,000",4 bds,3 ba,"1,513 sqft",- Condo for sale
274,"627 39th Ave, San Francisco, CA 94121","COMPASS, Carol Reen","$2,295,000",4 bds,5 ba,"2,387 sqft",- House for sale
275,"280 Monterey Blvd, San Francisco, CA 94131","COMPASS SF, Pete Brannigan","$1,799,000",5 bds,3 ba,"2,589 sqft",- House for sale
276,"74 Brady St UNIT 6, San Francisco, CA 94103","Sternberg-Benjamin Architects, AVENUE 8 INC., Justin F. Fichelson","$1,395,000",2 bds,3 ba,"1,668 sqft",- Condo for sale
277,"709 Central Ave, San Francisco, CA 94117","PONTAR REAL ESTATE, Merri Pontar-Rawski","$1,225,000",3 bds,2 ba,"1,228 sqft",- Condo for sale
278,"Plan B Plan, Lofton at Portola BMR",Tri Pointe Homes,"$532,720+",3 bds,4 ba,"1,789 sqft",- New construction
279,"520 Natoma St APT 11, San Francisco, CA 94103","VANGUARD PROPERTIES, Robert Lane Gibson","$369,000",Studio,1 ba,347 sqft,- Condo for sale
280,"81 Lansing St APT 303, San Francisco, CA 94105","COMPASS SF, John P. Twomey","$799,000",1 bd,1 ba,900 sqft,- Condo for sale
281,"300 3rd St APT 318, San Francisco, CA 94107","COMPASS SF, Ruth Krishnan","$1,220,000",2 bds,2 ba,"1,399 sqft",- Condo for sale
